Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code
the-lux-tailored-straight-leg-pants,The Lux' Tailored Straight Leg Pants,"<p>And that is why we are offering you the result of great market and technological research – our magnificent product. Our employees put in great efforts to make this commodity. Our good was made up by best experts with the help of most advanced technologies, and it gives us right to consider this product to be a premium one.</p>
<h4>Fashion has always been so temporary and uncertain</h4>
<ol>
<li>With the great pleasure we are offering you our goods</li>
<li>Fashion satisfies our willingness to be attractive</li>
<li>That is why we are offering you the result of great market and technological research</li>
<li>The unique combination of fair price, extraordinary style and perfect quality</li>
</ol>
<p>So, this circumstance forced all leading successful companies to explore all needs and wishes of <strong>different groups of potential clients</strong> very deeply. And that is why we are offering you the result of great market and technological research – our magnificent product. Our employees put in great efforts to make this commodity. Fashion has always been so temporary and uncertain.</p>
<p>And also<a target=""_blank"" href=""https://www.youtube.com/watch?v=E_IG2ubeTME"" rel=""noopener noreferrer""> fashion is the detector of prosperity and social rank</a>. So, our natural desire to wear fashionable clothes has many reasons such as historical, social and others. Therefore being fashionable costs a lot of money. But nowadays fashion is not such unavailable as it was a couple of centuries ago.</p>",SuitUP,Casual,"Black, Gray, Olive, sweaters, t-shirts",true,Color,Black,,,,,654654654-56,0,shopify,56,deny,manual,340.00,,true,false,'541265746854231,https://cdn.shopify.com/s/files/1/0017/5148/2427/products/the_lux_tailored_straight_leg_pants_1.jpg?v=1523610338,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0017/5148/2427/products/the_lux_tailored_straight_leg_pants_1.jpg?v=1523610338,kg,
the-lux-tailored-straight-leg-pants,,,,,,,,Gray,,,,,654654654-57,0,shopify,100,deny,manual,340.00,,true,false,"",https://cdn.shopify.com/s/files/1/0017/5148/2427/products/the_lux_tailored_straight_leg_pants_4.jpg?v=1523610338,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0017/5148/2427/products/the_lux_tailored_straight_leg_pants_2.jpg?v=1523610338,kg,
the-lux-tailored-straight-leg-pants,,,,,,,,Olive,,,,,654654654-58,0,shopify,0,deny,manual,340.00,,true,false,"",https://cdn.shopify.com/s/files/1/0017/5148/2427/products/the_lux_tailored_straight_leg_pants_5.jpg?v=1523610338,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0017/5148/2427/products/the_lux_tailored_straight_leg_pants_3.jpg?v=1523610338,kg,
the-lux-tailored-straight-leg-pants,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0017/5148/2427/products/the_lux_tailored_straight_leg_pants_2.jpg?v=1523610338,4,,,,,,,,,,,,,,,,,,,,
the-lux-tailored-straight-leg-pants,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0017/5148/2427/products/the_lux_tailored_straight_leg_pants_3.jpg?v=1523610338,5,,,,,,,,,,,,,,,,,,,,
sloane-crewneck-cashmere-sweater,Sloane Crewneck Cashmere Sweater,"<h3>Here you can find garments of all sizes, colors, styles and fabrics</h3>
<p>And that is why we are offering you the result of great market and technological research – our magnificent product. Our employees put in great efforts to make this commodity. Our good was made up by best experts with the help of most advanced technologies, and it gives us right to consider this product to be a premium one. Fashion has always been so temporary and uncertain. You can’t keep up with it.</p>
<p>Just take a look at our assortment:</p>
<ol>
<li>We have foreseen all your needs</li>
<li>The most comfortable and safety clothing for your hobby is presented in our store</li>
<li>We assure you it is really important, it shows that our good has such capacity as flexibility</li>
</ol>
<p>So, this circumstance forced all leading successful companies to explore all needs and wishes of different groups of potential clients very deeply. And that is why we are offering you the result of great market and technological research – our magnificent product. <strong>Our employees put in great efforts to make this commodity.</strong> Fashion has always been so temporary and uncertain.</p>
<h4>You have made the right choice</h4>
<p><iframe src=""https://www.youtube-nocookie.com/embed/0TSSoT4c2BI?rel=0"" allowfullscreen="""" frameborder=""0"" height=""720"" width=""1280""></iframe></p>
<p>Our product is universal because it suits <a target=""_blank"" href=""https://www.youtube.com/watch?v=CHXRTStPrUQ"" rel=""noopener noreferrer"">different customers with different demands</a>. We assure you it is really important, it shows that our good has such capacity as flexibility. And it is good for you because as we all know people change their claims with the course of time, and our good will be actual for a long time. The main reason of buying our clothes is the unique combination of fair price, extraordinary style and perfect quality.<br><br><br></p>",SuitUP,Vintage,"Gray, Red",true,Color,LightGrey,,,,,'327038,4500,shopify,100,deny,manual,110.00,115.00,true,true,555-6322-1,https://cdn.shopify.com/s/files/1/0017/5148/2427/products/sloane_crewneck_cashmere_sweater_1.jpg?v=1522316120,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0017/5148/2427/products/sloane_crewneck_cashmere_sweater_1.jpg?v=1522316120,kg,
sloane-crewneck-cashmere-sweater,,,,,,,,DarkRed,,,,,'327039,4500,shopify,100,deny,manual,110.00,115.00,true,true,"",https://cdn.shopify.com/s/files/1/0017/5148/2427/products/sloane_crewneck_cashmere_sweater_2.jpg?v=1522316120,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0017/5148/2427/products/sloane_crewneck_cashmere_sweater_3.jpg?v=1522316120,kg,
sloane-crewneck-cashmere-sweater,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0017/5148/2427/products/sloane_crewneck_cashmere_sweater_3.jpg?v=1522316120,3,,,,,,,,,,,,,,,,,,,,
sloane-crewneck-cashmere-sweater,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0017/5148/2427/products/sloane_crewneck_cashmere_sweater_4.jpg?v=1522316120,4,,,,,,,,,,,,,,,,,,,,
sloane-crewneck-cashmere-sweater,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0017/5148/2427/products/sloane_crewneck_cashmere_sweater_5.jpg?v=1522316120,5,,,,,,,,,,,,,,,,,,,,
slim-signature-silk-shirt,Slim Signature Silk Shirt,"<h2>We can propose you a list of gift ideas</h2>
<p>It will suit you best of all. Because we all live in the time of total consuming of uncountable goods and services, and this has become the main reason for the rapid growth of a so-called culture of consumption in our society. So, this circumstance forced all leading successful companies to explore all needs and wishes of different groups of potential clients very deeply. Our employees put in great efforts to make this commodity.</p>
<p>So, with the great pleasure we are offering you our goods, and we are sure that only our choices of garments will suit you best. <strong>Our product is universal because it suits different customers with different demands.</strong> We assure you it is really important, it shows that our good has such capacity as flexibility.</p>
So, this circumstance forced all leading successful companies to explore all needs and wishes of different groups of potential clients very deeply. <a target=""_blank"" href=""https://www.youtube.com/watch?v=CHXRTStPrUQ"" rel=""noopener noreferrer"">And that is why we are offering you the result of great market and technological research</a> – our magnificent product. Our employees put in great efforts to make this commodity. Fashion has always been so temporary and uncertain.<br>
<ul>
<li>Just take a look at our assortment</li>
<li>We have foreseen all your needs</li>
</ul>
<p>Obviously there is nothing wrong about it because fashion satisfies our willingness to be attractive. And also fashion is the detector of prosperity and social rank. So, our natural desire to wear fashionable clothes has many reasons such as historical, social and others. Therefore being fashionable costs a lot of money. But nowadays fashion is not such unavailable as it was a couple of centuries ago.</p>",SuitUP,Ethnic,"Gray, L, White, XL, XXL",true,Size,L,Color,White,,,327AE-6,700,,99,deny,manual,360.00,,false,true,'327038522,https://cdn.shopify.com/s/files/1/0017/5148/2427/products/slim_signature_silk_shirt_1.jpg?v=1522316110,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0017/5148/2427/products/slim_signature_silk_shirt_1.jpg?v=1522316110,kg,
slim-signature-silk-shirt,,,,,,,,XL,,DimGrey,,,556-62225,1500,,1,deny,manual,369.00,369.00,true,true,'48245687465,https://cdn.shopify.com/s/files/1/0017/5148/2427/products/slim_signature_silk_shirt_2.jpg?v=1522316110,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0017/5148/2427/products/slim_signature_silk_shirt_2.jpg?v=1522316110,kg,
slim-signature-silk-shirt,,,,,,,,XXL,,DimGrey,,,'64554,300,shopify,50,deny,manual,365.00,,true,true,'2353565467,https://cdn.shopify.com/s/files/1/0017/5148/2427/products/slim_signature_silk_shirt_3.jpg?v=1522316110,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0017/5148/2427/products/slim_signature_silk_shirt_4.jpg?v=1522316110,kg,
slim-signature-silk-shirt,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0017/5148/2427/products/slim_signature_silk_shirt_4.jpg?v=1522316110,4,,,,,,,,,,,,,,,,,,,,
slim-signature-silk-shirt,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0017/5148/2427/products/slim_signature_silk_shirt_5.jpg?v=1522316110,5,,,,,,,,,,,,,,,,,,,,
raglan-merino-wool-crewneck-sweater,Raglan Merino Wool Crewneck Sweater,"<h3>You have made the right choice</h3>
<p>And it is good for you because as we all know people change their claims with the course of time, and our good will be actual for a long time. The main reason of buying our clothes is the unique combination of fair price, extraordinary style and perfect quality. Here you can find garments of all sizes, colors, styles and fabrics. It will suit you best of all. Our employees put in great efforts to make this commodity. It will suit you best of all. Because we all live in the time of total consuming of uncountable goods and services, and this has become the main reason for the rapid growth of a so-called culture of consumption in our society.</p>
<p>So, this <a target=""_blank"" href=""https://www.youtube.com/watch?v=0TSSoT4c2BI"" rel=""noopener noreferrer"">circumstance forced all leading successful companies</a> to explore all needs and wishes of different groups of potential clients very deeply. Our employees put in great efforts to make this commodity.</p>
<h3>Fashion has always been so temporary and uncertain</h3>
<p>We are lucky to have an opportunity to buy qualitative, fashionable and affordable clothes. So, with the great pleasure we are offering you our goods, and we are sure that only our choices of garments will suit you best.</p>
<p>Our product is universal because it suits different customers with different demands. We assure you it is really important, it shows that our good has such capacity as flexibility.</p>
<ul>
<li>Unique combination of fair price, extraordinary style and perfect quality</li>
<li>Just take a look at our assortment</li>
<li>We can propose you a list of gift ideas</li>
</ul>
<h3>Comfortable clothes</h3>
<p>We have foreseen all your needs.</p>
<blockquote>
<p>And it is good for you because as we all know people change their claims with the course of time, and our good will be actual for a long time. The main reason of buying our clothes is the unique combination of fair price, extraordinary style and perfect quality.</p>
</blockquote>
<p><iframe src=""https://www.youtube-nocookie.com/embed/E_IG2ubeTME?rel=0"" allowfullscreen="""" frameborder=""0"" height=""720"" width=""1280""></iframe></p>
<p>So, our natural desire to wear fashionable clothes has many reasons such as historical, social and others. Therefore being fashionable costs a lot of money. But nowadays fashion is not such unavailable as it was a couple of centuries ago. We are lucky to have an opportunity to buy qualitative, fashionable and affordable clothes. So, with the great pleasure we are offering you our goods, and we are sure that only our choices of garments will suit you best.</p>",SuitUP,Uniforms,"Blue, casual, clothes, fashionable, Gray",true,Color,Navy,,,,,"",0,shopify,98,deny,manual,99.00,,true,true,"",https://cdn.shopify.com/s/files/1/0017/5148/2427/products/raglan_merino_wool_crewneck_sweater_1.jpg?v=1523609956,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0017/5148/2427/products/raglan_merino_wool_crewneck_sweater_1.jpg?v=1523609956,kg,
raglan-merino-wool-crewneck-sweater,,,,,,,,Gray,,,,,"",0,shopify,58,deny,manual,99.00,,true,true,"",https://cdn.shopify.com/s/files/1/0017/5148/2427/products/raglan_merino_wool_crewneck_sweater_2.jpg?v=1523609956,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0017/5148/2427/products/raglan_merino_wool_crewneck_sweater_3.jpg?v=1523609956,kg,
raglan-merino-wool-crewneck-sweater,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0017/5148/2427/products/raglan_merino_wool_crewneck_sweater_4.jpg?v=1523609956,3,,,,,,,,,,,,,,,,,,,,
raglan-merino-wool-crewneck-sweater,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0017/5148/2427/products/raglan_merino_wool_crewneck_sweater_5.jpg?v=1523609956,4,,,,,,,,,,,,,,,,,,,,
raglan-merino-wool-crewneck-sweater,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0017/5148/2427/products/raglan_merino_wool_crewneck_sweater_3.jpg?v=1523609956,5,,,,,,,,,,,,,,,,,,,,
quilted-leather-jacket,Quilted Leather Jacket,"<p>Fashion has always been so temporary and uncertain. <strong>You can’t keep up with it.</strong> This social phenomenon is very whimsical, thus we as the consumers always try to stay in touch with all the latest fashion tendencies. Obviously there is nothing wrong about it because fashion satisfies our willingness to be attractive. And also fashion is the detector of prosperity and social rank.But nowadays fashion is not such unavailable as it was a couple of centuries ago.</p>
<h3>It will suit you best of all</h3>
<p><iframe src=""https://www.youtube-nocookie.com/embed/CHXRTStPrUQ?rel=0"" allowfullscreen="""" frameborder=""0"" height=""720"" width=""1280""></iframe></p>
<p>You have made the right choice.</p>
<ul>
<li>Our natural desire to wear fashionable clothes has many reasons</li>
<li>Just take a look at our assortment</li>
<li>We have foreseen all your needs</li>
</ul>
<p>So, this circumstance forced all leading successful companies to explore all needs and wishes of different groups of potential clients very deeply.</p>
<h4>Fashion has always been so temporary and uncertain</h4>
<p>The main reason of buying our clothes is the unique combination of fair price, extraordinary style and perfect quality. Here you can find garments of all sizes, colors, styles and fabrics. It will suit you best of all. Because we all live in the time of total consuming of uncountable goods and services, and this has become the main reason for the rapid growth of a so-called culture of consumption in our society. Our employees put in great efforts to make this commodity. Our good was made up by best experts with the help of most advanced technologies, and it gives us right to consider this product to be a premium one.</p>",SuitUP,Sportswear,"accessories, Black, L, Red, XL",true,Color,Red,Size,L,Material,Leather,"",1200,shopify,100,continue,manual,190.00,199.00,true,true,,https://cdn.shopify.com/s/files/1/0017/5148/2427/products/quilted_leather_jacket_1.jpg?v=1522316087,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0017/5148/2427/products/quilted_leather_jacket_5.jpg?v=1522316087,lb,
quilted-leather-jacket,,,,,,,,Black,,L,,Leather,"",2500,shopify,100,deny,manual,199.00,202.00,true,true,,https://cdn.shopify.com/s/files/1/0017/5148/2427/products/quilted_leather_jacket_2.jpg?v=1522316087,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0017/5148/2427/products/quilted_leather_jacket_2.jpg?v=1522316087,kg,
quilted-leather-jacket,,,,,,,,Red,,XL,,Leather,"",800,shopify,1,deny,manual,195.00,200.00,true,true,,https://cdn.shopify.com/s/files/1/0017/5148/2427/products/quilted_leather_jacket_3.jpg?v=1522316087,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0017/5148/2427/products/quilted_leather_jacket_3.jpg?v=1522316087,oz,
quilted-leather-jacket,,,,,,,,Black,,XL,,Fabric,"",100,shopify,13,continue,manual,199.00,200.00,true,true,,https://cdn.shopify.com/s/files/1/0017/5148/2427/products/quilted_leather_jacket_4.jpg?v=1522316087,4,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0017/5148/2427/products/quilted_leather_jacket_4.jpg?v=1522316087,g,
quilted-leather-jacket,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0017/5148/2427/products/quilted_leather_jacket_5.jpg?v=1522316087,5,,,,,,,,,,,,,,,,,,,,
open-front-cardigan,Open Front Cardigan,"<p>And that is why we are offering you the result of great market and technological research – our magnificent product. Our employees put in great efforts to make this commodity. Our good was made up by best experts with the help of most advanced technologies, and it gives us right to consider this product to be a premium one.</p>
<h4>Fashion has always been so temporary and uncertain</h4>
<ol>
<li>With the great pleasure we are offering you our goods</li>
<li>Fashion satisfies our willingness to be attractive</li>
<li>That is why we are offering you the result of great market and technological research</li>
<li>The unique combination of fair price, extraordinary style and perfect quality</li>
</ol>
<p>So, this circumstance forced all leading successful companies to explore all needs and wishes of <strong>different groups of potential clients</strong> very deeply. And that is why we are offering you the result of great market and technological research – our magnificent product. Our employees put in great efforts to make this commodity. Fashion has always been so temporary and uncertain.</p>
<p>And also<a target=""_blank"" href=""https://www.youtube.com/watch?v=E_IG2ubeTME"" rel=""noopener noreferrer""> fashion is the detector of prosperity and social rank</a>. So, our natural desire to wear fashionable clothes has many reasons such as historical, social and others. Therefore being fashionable costs a lot of money. But nowadays fashion is not such unavailable as it was a couple of centuries ago.</p>",SuitUP,Uniforms,"DarkBlue, Olive, sweaters, t-shirts",true,Color,Indigo,,,,,654654654-56,0,shopify,4,deny,manual,75.00,,true,false,'541265746854231,https://cdn.shopify.com/s/files/1/0017/5148/2427/products/open_front_cardigan_1.jpg?v=1523609550,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0017/5148/2427/products/open_front_cardigan_1.jpg?v=1523609550,kg,
open-front-cardigan,,,,,,,,Olive,,,,,654654654-57,0,shopify,18,deny,manual,75.00,,true,false,"",https://cdn.shopify.com/s/files/1/0017/5148/2427/products/open_front_cardigan_3.jpg?v=1523609550,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0017/5148/2427/products/open_front_cardigan_3.jpg?v=1523609550,kg,
open-front-cardigan,,,,,,,,DarkBlue,,,,,654654654-58,0,shopify,88,deny,manual,75.00,,true,false,"",https://cdn.shopify.com/s/files/1/0017/5148/2427/products/open_front_cardigan_4.jpg?v=1523609550,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0017/5148/2427/products/open_front_cardigan_2.jpg?v=1523609550,kg,
open-front-cardigan,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0017/5148/2427/products/open_front_cardigan_5.jpg?v=1523609550,4,,,,,,,,,,,,,,,,,,,,
open-front-cardigan,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0017/5148/2427/products/open_front_cardigan_2.jpg?v=1523609550,5,,,,,,,,,,,,,,,,,,,,
new-york-classic-fit-wool-suit,New York Classic Fit Wool Suit,"<h3>Here you can find garments of all sizes, colors, styles and fabrics</h3>
<p>And that is why we are offering you the result of great market and technological research – our magnificent product. Our employees put in great efforts to make this commodity. Our good was made up by best experts with the help of most advanced technologies, and it gives us right to consider this product to be a premium one. Fashion has always been so temporary and uncertain. You can’t keep up with it.</p>
<p>Just take a look at our assortment:</p>
<ol>
<li>We have foreseen all your needs</li>
<li>The most comfortable and safety clothing for your hobby is presented in our store</li>
<li>We assure you it is really important, it shows that our good has such capacity as flexibility</li>
</ol>
<p>So, this circumstance forced all leading successful companies to explore all needs and wishes of different groups of potential clients very deeply. And that is why we are offering you the result of great market and technological research – our magnificent product. <strong>Our employees put in great efforts to make this commodity.</strong> Fashion has always been so temporary and uncertain.</p>
<h4>You have made the right choice</h4>
<p><iframe src=""https://www.youtube-nocookie.com/embed/0TSSoT4c2BI?rel=0"" allowfullscreen="""" frameborder=""0"" height=""720"" width=""1280""></iframe></p>
<p>Our product is universal because it suits <a target=""_blank"" href=""https://www.youtube.com/watch?v=CHXRTStPrUQ"" rel=""noopener noreferrer"">different customers with different demands</a>. We assure you it is really important, it shows that our good has such capacity as flexibility. And it is good for you because as we all know people change their claims with the course of time, and our good will be actual for a long time. The main reason of buying our clothes is the unique combination of fair price, extraordinary style and perfect quality.<br><br><br></p>",SuitUP,Sportswear,Gray,true,Color,LightGrey,,,,,'327038,4500,shopify,100,deny,manual,350.00,359.00,true,true,555-6322-1,https://cdn.shopify.com/s/files/1/0017/5148/2427/products/new_york_classic_fit_wool_suit_1.jpg?v=1522316066,1,,false,,,,,,,,,,,,,,,,,kg,
new-york-classic-fit-wool-suit,,,,,,,,DarkGray,,,,,'327039,4500,shopify,0,deny,manual,350.00,359.00,true,true,"",https://cdn.shopify.com/s/files/1/0017/5148/2427/products/new_york_classic_fit_wool_suit_2.jpg?v=1522316066,2,,,,,,,,,,,,,,,,,,,kg,
new-york-classic-fit-wool-suit,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0017/5148/2427/products/new_york_classic_fit_wool_suit_3.jpg?v=1522316066,3,,,,,,,,,,,,,,,,,,,,
new-york-classic-fit-wool-suit,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0017/5148/2427/products/new_york_classic_fit_wool_suit_4.jpg?v=1522316066,4,,,,,,,,,,,,,,,,,,,,
new-york-classic-fit-wool-suit,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0017/5148/2427/products/new_york_classic_fit_wool_suit_5.jpg?v=1522316066,5,,,,,,,,,,,,,,,,,,,,
